Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Opposition
Oakwood,Solo,Dribble,0,0,22,27,5,34,Oakwood
Oakwood,End,Direct Play,0,0,3,35,-,-,Oakwood
Oakwood,Start,Pass,0,0,36,31,18,53,Oakwood
Oakwood,Middle,Dribble,0,0,17,54,8,42,Oakwood
Oakwood,End,Counter attack,0,0,6,42,-,-,Oakwood
U-15,Start,Pass,0,0,2,27,7,58,Oakwood
U-15,End,Cut back,0,0,8,57,-,-,Oakwood
