Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Opposition
NYCFC,Start,Pass,0,0,10,83,5,70,NYCFC
NYCFC,Middle,Dribble,0,0,7,67,10,62,NYCFC
NYCFC,End,Direct Play,0,0,9,60,-,-,NYCFC
NYCFC,Solo,Dribble,0,0,31,28,8,38,NYCFC
NYCFC,End,Direct Play,0,0,8,40,-,-,NYCFC
U-15,Solo,Counterpress,0,0,78,37,-,-,NYCFC
