Team,Player,Event,Mins,Secs,X,Y,X2,Y2
U14,Start,Dribble,0,10,17,84,5,71
U14,Middle,Pass,0,10,5,72,13,49
U14,Middle,Pass,0,10,12,49,8,31
U14,End,Sustained Possession *,0,10,7,31,-,-
U14,Start,Pass,0,10,19,29,37,10
U14,Middle,Dribble,0,10,37,8,60,8
U14,Middle,Pass,0,10,59,8,74,34
U14,Middle,Dribble,0,10,74,33,86,44
U14,End,Counterattack,0,10,86,43,-,-
U14,End,Direct Play,0,10,86,43,-,-
U14,Start,Pass,0,10,71,74,76,44
U14,Middle,Dribble,0,10,77,42,87,41
U14,End,Press,0,10,87,42,-,-
IFA,Start,Dribble,0,10,77,17,95,25
IFA,Middle,Pass,0,10,95,33,92,46
IFA,End,Direct Play,0,10,92,45,-,-
IFA,End,Cutback,0,10,92,44,-,-
IFA,Start,Pass,0,10,2,3,8,51
IFA,Middle,Pass,0,10,8,52,13,48
IFA,End,Corner Kick,0,10,14,50,-,-
IFA,End,Counterpress,0,10,13,50,-,-
IFA,Start,Dribble,0,10,52,77,35,76
IFA,Middle,Pass,0,10,34,76,16,82
IFA,Middle,Dribble,0,10,15,82,4,65
IFA,End,Direct Play,0,10,4,65,-,-
IFA,End,Counterpress,0,10,4,64,-,-
