Team,Player,Event,Mins,Secs,X,Y,X2,Y2
U14,Start,Pass,0,0,47,49,47,84
U14,Middle,Pass,0,0,52,87,70,85
U14,Middle,Pass,0,0,70,87,66,80
U14,Middle,Dribble,0,0,65,81,95,72
U14,Middle,Pass,0,0,95,71,96,50
U14,End,Direct Play,0,0,95,50,-,-
U14,Start,Pass,0,0,2,3,6,48
U14,End,Corner Kick,0,0,6,49,-,-
Bayside,Start,Dribble,0,0,34,67,26,51
Bayside,End,Counterpress,0,0,25,51,-,-
Bayside,Start,Pass,0,0,17,17,25,44
Bayside,Middle,Pass,0,0,25,43,7,55
Bayside,End,Counterpress,0,0,6,55,-,-
Bayside,Solo,Penalty,0,0,89,50,-,-
