Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Cedar Stars,,,,,,,,
,Start,Pass,0,0,90,93,45,89
Cedar Stars,,,,,,,,
,Middle,Dribble,0,0,45,90,1,64
Cedar Stars,,,,,,,,
,Middle,Pass,0,0,1,64,2,47
Cedar Stars,,,,,,,,
,End,Throw In,0,0,2,46,-,-
Cedar Stars,,,,,,,,
,End,Direct Play,0,0,1,46,-,-
Cedar Stars,,,,,,,,
,End,Counterattack,0,0,1,46,-,-
Cedar Stars,,,,,,,,
,End,Cutback,0,0,2,46,-,-
Cedar Stars,,,,,,,,
,Start,Pass,0,0,46,43,72,61
Cedar Stars,,,,,,,,
,Middle,Dribble,0,0,71,60,86,55
Cedar Stars,,,,,,,,
,End,Counterattack,0,0,86,56,-,-
Cedar Stars,,,,,,,,
,End,Counterpress,0,0,86,56,-,-
