Team,Player,Event,Mins,Secs,X,Y,X2,Y2
U14,Start,Pass,0,10,57,74,66,63
U14,Middle,Dribble,0,10,65,64,69,55
U14,End,Counterpress,0,10,68,55,-,-
U14,Start,Dribble,0,10,67,65,55,59
U14,Middle,Pass,0,10,55,60,28,54
U14,Middle,Dribble,0,10,28,54,8,60
U14,End,Counterattack,0,10,7,60,-,-
U14,Start,Pass,0,10,40,60,19,54
U14,Middle,Pass,0,10,20,54,15,44
U14,End,Counterpress,0,10,15,44,-,-
U14,End,Free Kick,0,10,15,46,-,-
Oakwood

,Start,Pass,0,10,43,39,28,51
Oakwood

,Middle,Pass,0,10,28,50,11,54
Oakwood

,End,Counterpress,0,10,10,53,-,-
Oakwood

,Start,Dribble,0,10,44,41,32,39
Oakwood

,Middle,Pass,0,10,33,38,15,33
Oakwood

,End,Counterpress,0,10,10,31,-,-
Oakwood

,Solo,Penalty,0,10,11,50,-,-
Oakwood

,Start,Pass,0,10,36,9,47,13
Oakwood

,Middle,Pass,0,10,47,13,32,32
Oakwood

,Middle,Dribble,0,10,32,31,25,41
Oakwood

,Middle,Pass,0,10,24,42,8,36
Oakwood

,End,Direct Play,0,10,8,36,-,-
