Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Montreal,Start,Pass,74,10,82,71,85,49
Montreal,Middle,Dribble,74,10,85,49,93,51
Montreal,End,Press,74,10,93,51,-,-
Montreal,Start,Dribble,74,10,85,50,98,48
Montreal,End,Press,74,10,99,48,-,-
Montreal,Start,Dribble,74,10,71,83,88,80
Montreal,Middle,Pass,74,10,88,80,87,55
Montreal,End,Cutback,74,10,88,55,-,-
Montreal,Start,Dribble,74,10,78,27,77,38
Montreal,End,Sustained Possession,74,10,78,39,-,-
Montreal,Start,Pass,74,10,22,67,20,53
Montreal,Middle,Pass,74,10,20,53,14,63
Montreal,Middle,Dribble,74,10,14,63,10,56
Montreal,End,Sustained Possession,74,10,10,55,-,-
Montreal,Start,Dribble,74,10,81,88,97,78
Montreal,Middle,Pass,74,10,98,78,96,62
Montreal,End,Cutback,74,10,96,61,-,-
