Team,Player,Event,Mins,Secs,X,Y,X2,Y2
U19,Solo,Penalty,90,54,89,50,-,-
Cedar Stars,Start,Pass,91,32,25,85,7,44
Cedar Stars,End,Free Kick,91,51,7,44,-,-
Cedar Stars,Start,Dribble,92,58,35,50,30,49
Cedar Stars,Middle,Pass,93,15,30,49,16,53
Cedar Stars,Middle,Dribble,93,27,15,54,7,50
Cedar Stars,End,Counterpress,93,48,7,49,-,-
Cedar Stars,Start,Pass,96,40,39,13,72,16
Cedar Stars,Middle,Pass,97,18,72,17,77,30
Cedar Stars,Middle,Dribble,97,33,77,32,92,39
Cedar Stars,End,Direct Play,97,43,93,40,-,-
