Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Opposition
U13,Start,Pass,0,0,58,58,52,72,Downtown United
U13,Middle,Pass,0,0,51,67,47,41,Downtown United
U13,Middle,Pass,0,0,45,43,29,27,Downtown United
U13,Middle,Dribble,0,0,29,26,5,26,Downtown United
U13,Middle,Pass,0,0,5,26,7,54,Downtown United
U13,End,Counterattack,0,0,6,54,-,-,Downtown United
U13,End,Direct Play,0,0,6,54,-,-,Downtown United
U13,Start,Dribble,0,0,19,8,9,19,Downtown United
U13,Middle,Pass,0,0,9,19,14,51,Downtown United
U13,End,Counterpress,0,0,14,52,-,-,Downtown United
U13,End,Cutback,0,0,13,52,-,-,Downtown United
