Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Opposition
Westchester,Start,Dribble,0,0,36,77,8,64,Westchester
Westchester,End,Counter attack,0,0,7,61,-,-,Westchester
U-16,Start,Pass,0,0,1,69,8,58,Westchester
U-16,Middle,Pass,0,0,7,60,15,46,Westchester
U-16,End,Direct Play,0,0,14,41,-,-,Westchester
