Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Opposition
U-16,Solo,Penalty,0,0,11,50,-,-,Beachside
U-16,Start,Cross,0,0,26,83,-,-,Beachside
U-16,End,Free Kick,0,0,5,64,-,-,Beachside
U-16,Start,Dribble,0,0,12,87,2,69,Beachside
U-16,Middle,Pass,0,0,1,67,5,54,Beachside
U-16,End,Direct Play,0,0,5,60,-,-,Beachside
U-16,Start,Pass,0,0,2,98,3,77,Beachside
U-16,Middle,Pass,0,0,4,74,-,-,Beachside
U-16,Middle,Dribble,0,0,1,74,2,62,Beachside
U-16,End,Corner Kick,0,0,2,62,-,-,Beachside
U-16,Start,Pass,0,0,63,89,70,72,Beachside
U-16,Middle,Dribble,0,0,69,71,94,65,Beachside
U-16,End,Direct Play,0,0,94,64,-,-,Beachside
Beachside,Start,Cross,0,0,2,97,6,57,Beachside
Beachside,End,Corner Kick,0,0,6,60,-,-,Beachside
