Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Opposition
New England Revolution,Start,Dribble,0,0,71,19,94,34,New England Revolution
New England Revolution,End,Direct Play,0,0,94,39,-,-,New England Revolution
New England Revolution,Solo,Dribble,0,0,83,84,94,46,New England Revolution
New England Revolution,End,Counterpress,0,0,94,44,-,-,New England Revolution
