Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Opposition
Montreal,Start,Pass,0,0,56,64,83,31,Montreal
Montreal,Middle,Dribble,0,0,84,32,92,33,Montreal
Montreal,End,Direct Play,0,0,92,37,-,-,Montreal
Montreal,Start,Cross,0,0,29,72,82,55,Montreal
Montreal,End,Direct Play,0,0,87,56,-,-,Montreal
U-16,Start,Pass,0,0,51,28,80,53,Montreal
U-16,End,Counter attack,0,0,85,47,-,-,Montreal
