Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Opponent
U17,Start,Pass,74,7,26,88,69,67,Seacoast
U17,Middle,Dribble,74,7,69,68,82,64,
U17,Middle,Pass,74,7,81,64,86,72,
U17,Middle,Dribble,74,7,86,72,93,69,
U17,Middle,Pass,74,7,94,69,98,53,
U17,Middle,Pass,74,7,98,53,93,53,
U17,End,Direct Play,74,7,94,53,-,-,
