Team,Player,Event,Mins,Secs,X,Y,X2,Y2
U17,Start,Pass,8,27,21,11,41,15
U17,Middle,Pass,9,15,40,17,49,33
U17,Middle,Pass,9,38,47,32,26,20
U17,Middle,Dribble,10,20,26,21,23,35
U17,Middle,Pass,10,58,22,36,14,58
U17,End,Sustained Possession,11,24,11,57,-,-
U17,Start,Pass,13,35,52,20,71,16
U17,Middle,Pass,14,0,71,18,66,32
U17,Middle,Pass,14,39,66,32,81,63
U17,End,Direct Play,15,2,83,58,-,-
U17,Start,Pass,18,44,77,1,87,27
U17,Middle,Dribble,19,47,87,28,91,42
U17,End,Throw In,19,57,92,45,-,-
IFA,Start,Pass,23,20,27,35,14,28
IFA,End,Counterattack,23,54,10,33,-,-
IFA,Start,Pass,25,35,71,45,88,44
IFA,Middle,Dribble,26,24,90,45,96,44
IFA,End,Sustained Possession,26,33,97,44,-,-
